"YEAR","THEME","TOTAL_SETS","TOTAL_PIECES","MEAN_PIECES","TOTAL_PRICE","MEAN_PRICE","MEAN_VALNEW","MEAN_VALUSED","PPP"
1994,"Town",27,4631,159.689655172414,496.5,24.825,181.053636363636,39.0053571428571,0.10721226516951
1994,"Trains",3,814,271.333333333333,162.75,54.25,366.033333333333,96.46,0.199938574938575
1995,"Aquazone",6,1030,171.666666666667,171.5,28.5833333333333,152.198333333333,40.4116666666667,0.166504854368932
1995,"Assorted",1,91,91,0,NA,101.82,NA,0
1995,"Basic",7,2616,237.818181818182,20,20,9.42833333333333,7.01142857142857,0.00764525993883792
1995,"Belville",3,139,46.3333333333333,36.25,12.0833333333333,28.77,9.45,0.260791366906475
1995,"Castle",7,1264,180.571428571429,155,25.8333333333333,413.62,76.21,0.122626582278481
1995,"Dacta",11,2879,261.727272727273,157.35,31.47,136.957142857143,73.7675,0.0546543938867662
1995,"Duplo",36,1261,34.0810810810811,198.6,19.86,38.7754545454545,29.0833333333333,0.157494052339413
1995,"Freestyle",21,4861,173.607142857143,270,19.2857142857143,27.6794736842105,18.5821428571429,0.0555441267228965
1995,"Model Team",1,421,421,39.5,39.5,242.25,111.44,0.0938242280285036
1995,"Pirates",4,856,214,117.5,29.375,289.705,105.3625,0.137266355140187
1995,"Primo",1,18,18,0,NA,NA,5,0
1995,"Service Packs",13,258,19.8461538461538,30.75,3.41666666666667,16.7663636363636,9.4575,0.119186046511628
1995,"Space",5,1009,168.166666666667,56.99,14.2475,190.15,64.1983333333333,0.0564816650148662
1995,"Technic",9,3715,412.777777777778,539.75,67.46875,173.456666666667,55.5211111111111,0.145289367429341
1995,"Town",21,3301,157.190476190476,326.75,21.7833333333333,143.998571428571,45.724,0.0989851560133293
1995,"Trains",2,671,335.5,104.5,52.25,381.5,113.96,0.155737704918033
1996,"Aquazone",6,560,80,90,15,111.078571428571,25.5257142857143,0.160714285714286
1996,"Assorted",1,48,48,0,NA,237.17,70.22,0
1996,"Basic",19,3188,159.4,116.25,23.25,12.9864285714286,9.73285714285714,0.0364648682559598
1996,"Belville",4,569,113.8,30,30,48.05,44.696,0.0527240773286467
1996,"Boats",3,346,115.333333333333,63,21,104.116666666667,24.9766666666667,0.182080924855491
1996,"Castle",6,829,138.166666666667,90.5,18.1,257.49,170.034,0.109167671893848
1996,"Dacta",4,682,170.5,31.5,31.5,84.67,69.25,0.0461876832844575
1996,"Duplo",37,1437,38.8378378378378,300.75,25.0625,58.49,23.1121428571429,0.20929018789144
1996,"Education",1,2456,2456,0,NA,511.29,NA,0
1996,"Freestyle",6,2030,290,45.5,15.1666666666667,11.37,30,0.0224137931034483
1996,"Model Team",1,1757,1757,139,139,1470.72,572.78,0.0791121229368241
1996,"Pirates",8,1465,183.125,206.5,25.8125,244.72125,94.8375,0.140955631399317
1996,"Primo",2,21,10.5,0,NA,NA,NA,0
1996,"Service Packs",30,1002,33.4,148,5.48148148148148,19.4103448275862,15.87625,0.147704590818363
1996,"Space",8,1664,184.888888888889,196,24.5,126.945555555556,35.4777777777778,0.117788461538462
